Gender,Age,Popular Website,Proficiency,Medium,Location,Household Internet Facilities,Browse Time,Browsing Status,Residence,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Purpose of Use,Years of Internet Use,Browsing Purpose,Priority of Learning,Webinar,Internet Usage For Educational Purpose,Academic Performance,Obstacles
Female,17,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,2,4,Blog,3,Non-academic,Creativity and Innovative Skills,No,Articles or Blogs related to non-academical studies,Not Satisfactory,Bad Service
Female,17,Facebook,Good,Mobile,Home,Not Connected,Night,Daily,Town,8,0,Social Media,3,Non-academic,Creativity and Innovative Skills,No,Notes or lectures for academical purpose,Average,High Price
Female,17,Youtube,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,6,2,Entertainment,3,Non-academic,Career Opportunity,No,Articles or Blogs related to non-academical studies,Average,High Price
Female,18,Youtube,Good,Mobile,Home,Not Connected,Night,Weekly,Town,7,0,Entertainment,2,Non-academic,Non-academic Learning,Yes,E-books or other Media files,Average,Unavailability
Male,17,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,4,4,News,4,Academic,Communication Skills,No,E-books or other Media files,Average,Bad Service
Male,17,Facebook,Good,Mobile,Home,Not Connected,Day,Daily,Village,8,0,Social Media,1,Non-academic,Non-academic Learning,No,Articles or Blogs related to non-academical studies,Average,High Price
Female,17,Whatsapp,Average,Laptop and Mobile,Home,Not Connected,Night,Daily,Town,5,1,Social Media,1,Non-academic,Creativity and Innovative Skills,No,Articles or Blogs related to non-academical studies,Not Satisfactory,High Price
Female,17,Gmail,Average,Mobile,Home,Not Connected,Night,Daily,Town,7,2,Social Media,1,Non-academic,Communication Skills,No,Articles or Blogs related to non-academical studies,Average,Unavailability
Female,17,Facebook,Very Good,Laptop and Mobile,Home,Not Connected,Night,Daily,Town,6,2,Social Media,1,Non-academic,Non-academic Learning,No,Articles or Blogs related to non-academical studies,Average,Unavailability
Female,17,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,3,7,Education,4,Academic,Career Opportunity,No,Articles or Blogs related to academical studies,Satisfactory,High Price
Male,17,Facebook,Average,Mobile,Home,Not Connected,Night,Daily,Town,8,2,Social Media,3,Non-academic,Non-academic Learning,No,E-books or other Media files,Average,High Price
Female,17,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,4,4,News,2,Academic,Leadership Development,No,Articles or Blogs related to academical studies,Not Satisfactory,Bad Service
Female,17,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,2,4,Blog,4,Non-academic,Non-academic Learning,No,Articles or Blogs related to academical studies,Not Satisfactory,Bad Service
Female,17,Whatsapp,Good,Mobile,Home,Not Connected,Night,Daily,Town,7,0,Entertainment,2,Non-academic,Academic Learning,No,E-books or other Media files,Satisfactory,Bad Service
Female,17,Whatsapp,Average,Mobile,College,Not Connected,Night,Daily,Town,6,1,Social Media,3,Academic,Career Opportunity,No,Courses Available on specific topics,Average,Bad Service
Female,17,Facebook,Good,Mobile,Home,Not Connected,Night,Weekly,Town,6,1,Social Media,2,Non-academic,Non-academic Learning,Yes,Articles or Blogs related to non-academical studies,Not Satisfactory,High Price
Male,17,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,3,2,Online Shopping,2,Non-academic,Academic Learning,No,Articles or Blogs related to non-academical studies,Not Satisfactory,Bad Service
Female,17,Google,Very Good,Laptop and Mobile,Home,Not Connected,Night,Daily,Town,5,3,Blog,3,Academic,Communication Skills,No,Notes or lectures for academical purpose,Satisfactory,High Price
Female,17,Google,Average,Mobile,Home,Not Connected,Night,Daily,Town,1,6,Education,4,Academic,Career Opportunity,No,Notes or lectures for academical purpose,Good,Bad Service
Female,16,Twitter,Very Good,Laptop and Mobile,Home,Not Connected,Day,Daily,Town,3,2,Online Shopping,2,Academic,Academic Learning,No,Articles or Blogs related to academical studies,Satisfactory,Bad Service
Female,17,Gmail,Average,Mobile,College,Not Connected,Night,Daily,Town,5,4,Blog,4,Non-academic,Academic Learning,No,Articles or Blogs related to academical studies,Satisfactory,High Price
Female,17,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,2,5,Education,5,Academic,Academic Learning,No,Articles or Blogs related to academical studies,Satisfactory,High Price
Female,17,Gmail,Good,Mobile,Home,Not Connected,Night,Monthly,Town,1,5,Education,4,Academic,Academic Learning,Yes,Articles or Blogs related to academical studies,Satisfactory,Bad Service
