Gender,Age,Popular Website,Proficiency,Medium,Location,Household Internet Facilities,Browse Time,Browsing Status,Residence,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Purpose of Use,Years of Internet Use,Browsing Purpose,Webinar,Priority of Learning,Internet Usage For Educational Purpose,Academic Performance,Obstacles
Female,23,Instagram,Not at all,Desktop,Library,Connected,Night,Daily,Remote,4,2,News,2,Non-academic,No,Communication Skills,Articles or Blogs related to non-academical studies,Not Satisfactory,High Price
Female,23,Youtube,Good,Mobile,University,Connected,Morning,Daily,Remote,1,3,Online Shopping,2,Non-academic,Yes,Creativity and Innovative Skills,Articles or Blogs related to non-academical studies,Average,High Price
Female,23,Whatsapp,Good,Mobile,University,Connected,Midnight,Daily,Town,5,6,Blog,2,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Good,High Price
Female,23,Whatsapp,Average,Laptop and Mobile,University,Connected,Morning,Daily,Village,0,4,Education,1,Academic,Yes,Leadership Development,E-books or other Media files,Satisfactory,High Price
Male,24,Facebook,Average,Laptop and Mobile,Cyber Cafe,Connected,Night,Daily,Town,1,5,Education,3,Non-academic,No,Communication Skills,Articles or Blogs related to academical studies,Satisfactory,Bad Service
Female,23,Whatsapp,Good,Desktop,Home,Not Connected,Night,Daily,Town,4,5,Blog,4,Non-academic,Yes,Communication Skills,Articles or Blogs related to non-academical studies,Good,High Price
Male,23,Google,Good,Desktop,Cyber Cafe,Connected,Morning,Daily,Town,4,6,Education,2,Academic,Yes,Communication Skills,Articles or Blogs related to academical studies,Good,High Price
Female,25,Youtube,Good,Laptop and Mobile,University,Connected,Morning,Daily,Town,4,4,Education,5,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Good,Bad Service
Male,23,Instagram,Very Good,Mobile,Home,Connected,Night,Daily,Town,5,3,News,2,Non-academic,Yes,Academic Learning,Notes or lectures for academical purpose,Good,Bad Service
Male,23,Google,Average,Laptop and Mobile,Home,Connected,Day,Daily,Town,2,5,Education,1,Academic,No,Creativity and Innovative Skills,Notes or lectures for academical purpose,Satisfactory,High Price
Male,25,Google,Average,Laptop and Mobile,University,Connected,Midnight,Daily,Town,1,4,Education,1,Academic,Yes,Creativity and Innovative Skills,Courses Available on specific topics,Satisfactory,High Price
Male,23,Google,Good,Laptop and Mobile,Home,Connected,Night,Daily,Village,3,6,Education,3,Academic,No,Academic Learning,Research/Journal/Conference Papers,Good,High Price
Male,24,Google,Very Good,Laptop and Mobile,University,Connected,Midnight,Weekly,Village,4,6,Education,2,Academic,Yes,Academic Learning,Articles or Blogs related to academical studies,Good,High Price
Male,23,Google,Good,Mobile,Home,Connected,Night,Daily,Town,4,3,Social Media,4,Academic,No,Non-academic Learning,Research/Journal/Conference Papers,Average,High Price
Male,23,Google,Good,Mobile,Library,Connected,Morning,Daily,Town,2,4,Education,4,Academic,Yes,Communication Skills,E-books or other Media files,Satisfactory,High Price
Male,23,Google,Good,Laptop and Mobile,University,Connected,Morning,Daily,Village,2,4,Entertainment,3,Non-academic,Yes,Communication Skills,Articles or Blogs related to non-academical studies,Average,Unavailability
Male,24,Google,Good,Laptop and Mobile,University,Connected,Day,Weekly,Village,2,3,Entertainment,2,Academic,Yes,Academic Learning,Articles or Blogs related to academical studies,Good,High Price
Female,23,Google,Very Good,Laptop,Cyber Cafe,Connected,Day,Weekly,Remote,2,6,Blog,2,Academic,No,Academic Learning,E-books or other Media files,Good,High Price
Female,23,Youtube,Average,Laptop and Mobile,University,Connected,Morning,Daily,Town,5,3,Education,3,Academic,Yes,Academic Learning,Articles or Blogs related to academical studies,Good,Bad Service
Male,23,Facebook,Good,Desktop,Cyber Cafe,Connected,Night,Daily,Village,7,2,Education,2,Non-academic,Yes,Creativity and Innovative Skills,Research/Journal/Conference Papers,Average,High Price
Male,24,Google,Very Good,Mobile,Library,Connected,Night,Daily,Town,4,5,Education,2,Non-academic,Yes,Academic Learning,Articles or Blogs related to academical studies,Good,High Price
Male,23,Facebook,Not at all,Laptop and Mobile,Home,Connected,Day,Daily,Town,2,5,Education,4,Academic,Yes,Leadership Development,Notes or lectures for academical purpose,Satisfactory,High Price
Female,23,Google,Average,Laptop and Mobile,Library,Connected,Midnight,Daily,Village,2,5,News,2,Academic,Yes,Academic Learning,E-books or other Media files,Good,High Price
Male,23,Google,Average,Laptop and Mobile,Cyber Cafe,Connected,Night,Daily,Town,3,4,News,5,Academic,Yes,Academic Learning,Courses Available on specific topics,Good,Unavailability
Male,22,Facebook,Good,Desktop,Home,Not Connected,Night,Weekly,Village,6,0,Social Media,3,Academic,No,Leadership Development,Articles or Blogs related to non-academical studies,Not Satisfactory,Bad Service
Male,23,Youtube,Good,Laptop and Mobile,Cyber Cafe,Connected,Night,Daily,Town,2,5,Education,4,Academic,No,Academic Learning,Notes or lectures for academical purpose,Good,Unavailability
Male,23,Google,Average,Mobile,Home,Not Connected,Midnight,Daily,Town,2,3,Education,2,Academic,Yes,Creativity and Innovative Skills,E-books or other Media files,Satisfactory,High Price
Female,23,Facebook,Very Good,Laptop and Mobile,University,Connected,Midnight,Daily,Town,5,6,News,2,Non-academic,Yes,Communication Skills,Articles or Blogs related to non-academical studies,Good,High Price
Female,23,Google,Good,Laptop and Mobile,University,Connected,Night,Daily,Town,2,7,Online Shopping,4,Non-academic,Yes,Career Opportunity,Research/Journal/Conference Papers,Good,Unavailability
Female,24,Gmail,Good,Mobile,University,Connected,Night,Daily,Town,5,6,Social Media,2,Academic,No,Creativity and Innovative Skills,E-books or other Media files,Good,High Price
Female,23,Youtube,Not at all,Mobile,University,Connected,Day,Daily,Town,4,4,Entertainment,1,Academic,No,Academic Learning,Articles or Blogs related to academical studies,Satisfactory,High Price
Male,23,Instagram,Average,Mobile,Home,Connected,Night,Daily,Town,1,4,Social Media,3,Non-academic,Yes,Non-academic Learning,Research/Journal/Conference Papers,Satisfactory,High Price
Female,23,Google,Good,Laptop and Mobile,University,Connected,Day,Daily,Town,0,5,Entertainment,0,Academic,No,Academic Learning,Research/Journal/Conference Papers,Satisfactory,Bad Service
Female,23,Google,Good,Laptop and Mobile,University,Connected,Day,Daily,Town,2,6,Education,4,Academic,Yes,Career Opportunity,Articles or Blogs related to academical studies,Good,High Price
Female,24,Whatsapp,Average,Laptop and Mobile,Home,Connected,Morning,Daily,Village,0,5,Education,0,Academic,Yes,Non-academic Learning,Courses Available on specific topics,Satisfactory,Bad Service
Male,23,Gmail,Very Good,Mobile,University,Connected,Midnight,Weekly,Town,3,6,News,3,Non-academic,No,Leadership Development,E-books or other Media files,Good,Bad Service
Female,25,Youtube,Good,Mobile,Library,Connected,Morning,Daily,Town,2,1,News,2,Non-academic,Yes,Non-academic Learning,Articles or Blogs related to non-academical studies,Average,High Price
Male,24,Youtube,Average,Laptop,Library,Connected,Night,Daily,Village,2,5,Education,5,Non-academic,Yes,Leadership Development,Notes or lectures for academical purpose,Good,High Price
Female,24,Instagram,Average,Laptop and Mobile,University,Connected,Day,Daily,Town,4,4,Entertainment,3,Academic,Yes,Leadership Development,Research/Journal/Conference Papers,Good,Bad Service
Female,23,Google,Average,Laptop and Mobile,Home,Connected,Night,Daily,Town,0,4,Education,1,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Satisfactory,Unavailability
Male,23,Twitter,Average,Mobile,University,Connected,Night,Daily,Town,1,5,Education,0,Academic,Yes,Communication Skills,E-books or other Media files,Satisfactory,High Price
Male,25,Google,Very Good,Laptop and Mobile,Library,Connected,Night,Daily,Town,3,5,Education,2,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Good,Bad Service
Male,23,Google,Average,Mobile,Others,Connected,Night,Daily,Town,3,4,Education,3,Academic,Yes,Non-academic Learning,E-books or other Media files,Satisfactory,Bad Service
Male,23,Gmail,Good,Mobile,Cyber Cafe,Connected,Morning,Daily,Town,4,3,Entertainment,5,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Good,High Price
Female,25,Youtube,Very Good,Laptop and Mobile,University,Connected,Morning,Daily,Town,2,5,Education,5,Non-academic,Yes,Academic Learning,Articles or Blogs related to academical studies,Good,Bad Service
Female,24,Google,Average,Laptop and Mobile,Cyber Cafe,Connected,Midnight,Weekly,Town,5,7,Education,3,Academic,Yes,Academic Learning,Courses Available on specific topics,Good,Bad Service
Female,23,Youtube,Good,Mobile,Home,Connected,Day,Daily,Town,2,7,Social Media,3,Academic,Yes,Academic Learning,Courses Available on specific topics,Good,High Price
Female,24,Twitter,Good,Laptop and Mobile,Cyber Cafe,Connected,Night,Daily,Town,2,1,Social Media,4,Academic,Yes,Academic Learning,Notes or lectures for academical purpose,Not Satisfactory,Unavailability
Male,23,Google,Not at all,Laptop and Mobile,University,Connected,Day,Daily,Town,0,4,Education,4,Academic,Yes,Non-academic Learning,Research/Journal/Conference Papers,Satisfactory,Bad Service
Male,23,Facebook,Not at all,Laptop and Mobile,Cyber Cafe,Connected,Night,Weekly,Town,7,1,News,2,Non-academic,Yes,Non-academic Learning,Articles or Blogs related to non-academical studies,Not Satisfactory,High Price
