Age,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Academic Institution,Effectiveness Of Internet Usage,Household Internet Facilities,Time Of Internet Browsing,Frequency Of Internet Usage,Place Of Student's Residence,Purpose Of Internet Use,Browsing Purpose,Webinar,Priority Of Learning On The Internet,Internet Usage For Educational Purpose
23,4,2,2,1,0,3,0,0,3,1,0,2,1
23,1,3,2,0,0,2,0,0,4,1,1,3,1
23,5,6,2,0,0,1,0,1,0,0,1,0,4
23,0,4,2,2,0,2,0,2,1,0,1,4,3
24,1,5,2,2,0,3,0,1,1,1,0,2,0
23,4,5,2,0,1,3,0,1,0,1,1,2,1
23,4,6,2,0,0,2,0,1,1,0,1,2,0
25,4,4,2,0,0,2,0,1,1,0,1,0,4
23,5,3,2,3,0,3,0,1,3,1,1,0,4
23,2,5,2,2,0,0,0,1,1,0,0,3,4
25,1,4,2,2,0,1,0,1,1,0,1,3,2
23,3,6,2,0,0,3,0,2,1,0,0,0,5
24,4,6,2,3,0,1,2,2,1,0,1,0,0
23,4,3,2,0,0,3,0,1,5,0,0,5,5
23,2,4,2,0,0,2,0,1,1,0,1,2,3
23,2,4,2,0,0,2,0,2,2,1,1,2,1
24,2,3,2,0,0,0,2,2,2,0,1,0,0
23,2,6,2,3,0,0,2,0,0,0,0,0,3
23,5,3,2,2,0,2,0,1,1,0,1,0,0
23,7,2,2,0,0,3,0,2,1,1,1,3,5
24,4,5,2,3,0,3,0,1,1,1,1,0,0
23,2,5,2,1,0,0,0,1,1,0,1,4,4
23,2,5,2,2,0,1,0,2,3,0,1,0,3
23,3,4,2,2,0,3,0,1,3,0,1,0,2
22,6,0,2,0,1,3,2,2,5,0,0,4,1
23,2,5,2,0,0,3,0,1,1,0,0,0,4
23,2,3,2,2,1,1,0,1,1,0,1,3,3
23,5,6,2,3,0,1,0,1,3,1,1,2,1
23,2,7,2,0,0,3,0,1,4,1,1,1,5
24,5,6,2,0,0,3,0,1,5,0,0,3,3
23,4,4,2,1,0,0,0,1,2,0,0,0,0
23,1,4,2,2,0,3,0,1,5,1,1,5,5
23,0,5,2,0,0,0,0,1,2,0,0,0,5
23,2,6,2,0,0,0,0,1,1,0,1,1,0
24,0,5,2,2,0,2,0,2,1,0,1,5,2
23,3,6,2,3,0,1,2,1,3,1,0,4,3
25,2,1,2,0,0,2,0,1,3,1,1,5,1
24,2,5,2,2,0,3,0,2,1,1,1,4,4
24,4,4,2,2,0,0,0,1,2,0,1,4,5
23,0,4,2,2,0,3,0,1,1,0,1,0,4
23,1,5,2,2,0,3,0,1,1,0,1,2,3
25,3,5,2,3,0,3,0,1,1,0,1,0,4
23,3,4,2,2,0,3,0,1,1,0,1,5,3
23,4,3,2,0,0,2,0,1,2,0,1,0,4
25,2,5,2,3,0,2,0,1,1,1,1,0,0
24,5,7,2,2,0,1,2,1,1,0,1,0,2
23,2,7,2,0,0,0,0,1,5,0,1,0,2
24,2,1,2,0,0,3,0,1,5,0,1,0,4
23,0,4,2,1,0,0,0,1,1,0,1,5,5
23,7,1,2,1,0,3,2,1,3,1,1,5,1
23,2,5,2,2,0,1,0,1,1,1,1,0,4
23,3,3,2,0,0,1,0,1,2,0,1,4,2
23,1,4,2,1,0,0,0,1,1,0,0,0,4
23,2,2,2,2,0,2,0,0,2,1,0,2,1
24,3,4,2,0,0,1,0,1,1,0,1,0,0
25,3,7,2,0,0,3,0,1,4,0,1,4,3
23,5,3,2,2,0,3,0,1,1,1,0,2,5
23,6,3,2,0,0,1,0,1,1,0,0,2,5
23,4,4,2,0,0,2,0,1,1,0,1,0,0
24,0,5,2,0,0,3,0,2,2,1,0,3,1
23,2,3,2,0,0,3,0,1,2,0,1,0,0
23,5,4,2,3,0,2,0,1,1,0,0,0,3
24,3,4,2,2,0,3,0,1,1,0,0,2,4
24,3,7,2,0,0,3,0,1,1,1,1,0,4
23,2,6,2,3,1,3,0,1,1,1,1,0,1
23,1,5,2,2,0,0,0,1,1,0,1,5,4
23,2,4,2,0,1,0,0,2,1,0,1,0,0
24,0,3,2,1,0,1,0,1,1,0,1,2,4
23,5,5,2,3,0,1,1,1,4,0,0,2,3
25,2,5,2,2,0,3,0,1,2,1,1,5,2
23,5,7,2,0,0,0,0,1,1,1,1,2,0
23,3,6,2,2,0,0,0,2,1,1,0,3,5
23,2,2,2,2,0,2,0,1,5,0,1,4,0
23,0,4,2,2,0,3,2,2,1,1,1,3,5
24,3,5,2,2,0,0,0,2,1,1,0,0,1
24,3,6,2,0,0,3,0,1,1,0,1,0,3
23,0,4,2,0,0,3,0,1,1,1,0,5,0
25,4,5,2,2,0,3,0,1,1,0,1,2,0
23,7,3,2,3,0,3,0,2,5,1,1,2,0
23,7,3,2,3,0,3,0,2,0,0,1,2,2
23,5,7,2,3,0,0,0,1,4,0,1,2,5
23,5,3,2,0,0,1,0,2,3,0,1,0,5
23,5,2,2,3,0,3,0,2,0,0,1,2,0
24,2,7,2,2,0,1,0,1,4,0,1,5,4
23,6,3,2,0,1,3,2,2,4,1,1,5,5
24,0,3,2,0,0,2,0,1,1,0,0,0,5
23,3,2,2,0,0,3,0,1,5,1,1,5,1
25,3,3,2,0,0,0,0,1,1,0,0,4,3
23,0,4,2,2,0,2,0,1,1,0,1,3,1
24,3,3,2,2,1,3,0,1,2,0,0,3,2
23,2,5,2,0,0,3,0,1,5,0,1,1,2
23,1,5,2,2,0,0,0,1,1,0,0,3,3
24,2,7,2,3,0,1,0,1,5,0,1,2,3
24,3,1,2,3,0,2,0,1,2,1,1,1,1
24,5,7,2,2,0,3,0,1,4,0,1,4,5
23,3,6,2,3,1,1,0,1,1,0,1,1,3
25,2,3,2,2,0,3,0,1,2,1,1,3,1
23,1,4,2,0,0,0,0,1,1,0,1,5,2
23,5,4,2,3,0,0,0,2,0,1,1,1,1
23,2,5,2,2,0,0,0,1,1,1,1,2,3
23,2,6,2,0,0,3,0,1,3,1,0,0,1
23,3,3,2,2,0,0,0,1,1,0,1,4,1
23,2,3,2,2,0,0,0,1,2,0,0,0,0
24,2,4,2,0,0,2,0,1,5,0,0,1,2
23,4,5,2,2,1,2,0,1,4,0,1,0,2
23,1,5,2,2,0,0,0,1,5,1,1,0,1
23,3,6,2,3,0,3,0,1,1,0,1,0,0
23,5,5,2,0,0,2,2,0,1,0,1,4,3
24,2,5,2,2,1,0,2,1,1,1,0,4,5
23,5,4,2,0,0,1,0,2,5,0,0,0,1
23,4,3,2,0,0,3,2,2,3,0,1,3,3
24,3,3,2,2,0,3,0,1,1,0,1,1,5
23,2,5,2,2,0,3,0,1,1,0,0,4,2
24,2,6,2,2,0,3,0,1,1,0,1,0,0
25,5,7,2,2,0,0,0,1,1,0,1,1,2
23,1,4,2,2,0,2,0,2,2,0,0,2,0
23,0,4,2,2,0,1,0,1,1,1,0,3,4
24,4,6,2,0,1,1,1,1,0,1,1,4,1
23,0,5,2,2,0,3,0,1,1,0,0,3,2
22,4,3,2,2,0,3,0,1,4,0,0,0,3
24,4,7,2,2,0,3,0,2,1,1,1,5,3
23,2,3,2,3,0,0,0,1,1,0,0,5,0
23,3,5,2,1,0,0,0,2,1,1,1,4,2
25,4,7,2,3,0,1,0,1,1,0,1,3,0
25,5,5,2,2,0,0,0,1,1,0,1,2,5
23,1,5,2,2,0,0,0,1,5,0,0,2,1
23,3,3,2,2,0,3,0,1,1,0,1,0,5
24,3,3,2,3,1,2,2,2,4,1,1,5,2
24,5,3,2,0,0,0,0,1,1,0,0,0,4
23,4,3,2,3,0,0,0,1,3,1,0,1,1
23,6,4,2,0,1,1,0,2,5,0,1,4,0
23,3,3,2,2,0,3,0,1,5,1,0,0,5
24,4,7,2,0,0,3,0,1,1,0,1,1,5
24,2,7,2,3,0,3,0,2,1,1,1,1,1
24,5,0,2,0,1,0,0,2,1,0,0,5,3
24,3,1,2,0,0,1,0,1,5,1,0,5,5
25,2,3,2,1,0,0,0,1,5,1,1,0,1
23,4,3,2,0,0,1,0,1,4,1,1,2,1
24,3,7,2,2,0,1,2,2,1,0,1,2,4
23,3,3,2,0,0,1,0,1,2,1,1,5,1
23,5,6,2,2,0,3,0,2,1,0,1,1,5
24,3,7,2,0,0,3,0,1,1,1,0,0,3
23,3,3,2,1,0,2,0,0,1,0,1,0,4
25,3,3,2,0,0,2,0,1,3,0,1,2,5
23,3,2,2,0,1,2,1,1,5,0,1,2,0
25,2,6,2,0,0,1,0,1,1,0,0,0,3
23,4,1,2,2,0,0,0,1,1,1,1,0,5
23,4,4,2,0,1,0,0,2,5,1,1,2,4
23,0,5,2,1,0,2,0,1,1,0,1,2,1
23,3,7,2,3,0,3,2,2,4,0,0,0,2
23,5,7,2,2,0,0,0,1,1,1,1,0,5
23,0,3,2,2,0,3,0,2,2,0,1,3,3
25,3,3,2,3,0,0,0,1,1,1,0,5,5
24,4,0,2,0,1,3,0,1,5,1,1,5,1
23,7,3,2,3,0,2,0,1,5,0,1,3,3
23,3,5,2,0,0,3,0,1,1,0,1,0,5
23,3,2,2,2,0,3,2,1,1,0,1,5,2
24,4,6,2,2,0,1,0,2,3,1,1,2,2
24,4,1,2,0,1,1,0,2,4,0,0,1,0
24,2,3,2,3,0,0,0,1,5,0,0,4,2
23,4,4,2,2,0,3,0,1,3,0,1,0,4
23,4,6,2,3,0,2,0,1,1,0,1,0,4
25,5,2,2,0,1,1,0,2,2,1,0,2,1
23,0,4,2,0,0,2,0,1,1,0,1,4,3
23,4,3,2,0,0,3,2,2,3,0,1,3,5
24,3,0,2,0,1,1,0,2,0,1,0,2,1
25,6,2,2,3,0,0,0,1,3,1,1,2,3
24,2,2,2,0,1,3,0,2,1,0,0,4,1
24,5,6,2,3,0,1,2,2,4,0,1,1,5
23,4,7,2,2,0,1,0,1,0,1,0,2,0
24,3,5,2,0,1,1,1,1,4,0,1,3,3
23,3,4,2,2,1,1,0,1,1,0,0,2,3
24,4,5,2,1,0,2,0,1,1,0,1,5,1
23,7,3,2,0,0,3,0,1,5,1,1,4,5
24,5,7,2,2,0,3,0,1,5,0,1,0,2
23,5,5,2,0,1,2,0,1,1,0,1,1,3
24,4,5,2,2,0,0,0,2,1,0,0,4,0
24,4,3,2,1,1,0,0,2,1,0,0,1,0
23,1,3,2,1,0,0,0,1,1,1,0,4,3
23,3,3,2,2,0,3,0,1,4,0,1,5,0
23,7,4,2,0,0,3,2,1,4,0,0,5,0
25,2,4,2,0,0,3,0,1,1,0,1,2,2
23,3,2,2,0,0,1,0,1,2,1,0,3,3
23,2,4,2,3,0,0,0,1,1,0,0,4,0
23,3,3,2,0,0,1,0,1,1,1,0,2,3
23,3,4,2,0,0,3,0,2,1,0,0,0,0
23,4,7,2,0,0,3,0,1,1,0,1,0,0
23,5,3,2,2,0,3,0,1,3,1,0,5,1
23,6,0,2,0,0,3,0,1,1,1,0,5,2
25,0,3,2,0,0,3,0,1,1,0,0,3,2
23,5,6,2,3,0,2,0,1,1,1,0,5,4
25,3,2,2,0,0,2,0,1,5,0,1,0,5
23,3,7,2,3,0,2,0,1,4,0,1,2,3
23,3,5,2,2,0,1,0,1,1,0,1,1,4
23,3,2,2,0,0,3,0,1,1,0,0,5,3
23,2,4,2,1,0,2,0,1,1,0,0,0,4
23,3,3,2,0,0,1,0,2,5,0,1,1,0
24,4,4,2,1,0,2,0,2,2,0,1,4,5
23,3,7,2,2,0,3,0,1,4,1,1,2,5
23,5,4,2,0,0,1,0,1,4,0,1,5,4
24,2,4,2,2,0,3,0,2,1,0,1,5,0
23,3,7,2,0,0,2,0,1,1,1,1,0,5
24,3,4,2,0,0,3,0,1,2,1,1,3,5
24,3,4,2,0,0,2,0,1,1,0,1,3,4
20,2,4,2,3,0,3,2,1,4,0,1,2,3
23,2,3,2,1,0,0,0,1,1,0,1,3,0
23,3,5,2,2,0,3,0,1,1,0,1,0,4
24,6,1,2,3,0,1,0,2,5,0,1,2,2
23,0,3,2,2,0,2,0,2,1,0,1,0,2
23,7,3,2,0,0,0,0,1,2,0,1,1,4
23,4,3,2,0,0,0,0,1,1,1,1,4,2
23,2,1,2,2,0,1,0,1,5,0,1,3,3
23,2,3,2,0,0,0,0,2,1,0,0,0,0
23,3,6,2,3,0,1,0,2,5,0,1,0,0
24,2,3,2,2,0,1,0,2,1,0,1,4,0
24,2,4,2,0,0,0,0,2,5,0,1,3,3
24,3,6,2,0,0,3,0,1,5,0,0,0,0
23,3,3,2,2,0,2,0,1,2,0,1,3,5
23,2,3,2,3,0,3,0,1,3,0,0,0,4
23,2,2,2,1,0,1,0,0,1,0,0,0,5
24,3,4,2,3,0,1,0,1,4,1,1,3,1
24,3,5,2,2,0,2,0,1,2,0,1,2,4
23,4,5,2,2,0,3,0,2,1,0,1,3,3
23,2,4,2,2,1,2,0,1,1,1,0,5,3
23,4,6,2,0,0,2,0,1,1,1,1,1,1
25,4,3,2,1,0,0,0,1,5,0,1,0,2
24,4,7,2,0,0,3,0,1,2,0,0,1,1
23,6,3,2,0,0,1,2,1,3,1,0,4,5
23,3,5,2,2,0,1,0,1,4,0,1,4,0
25,3,5,2,2,0,3,0,1,1,1,1,4,1
23,5,2,2,1,0,3,0,1,2,1,1,3,5
23,6,2,2,2,0,2,0,2,1,0,1,5,0
23,5,4,2,3,0,0,0,1,1,0,1,2,4
23,4,6,2,3,0,3,0,1,1,0,1,0,0
22,0,4,2,0,0,3,0,1,1,0,1,3,2
22,2,5,2,2,0,1,0,2,3,0,1,3,3
23,2,1,2,2,1,0,0,2,2,1,0,4,1
23,1,3,2,0,0,2,0,2,1,0,1,3,4
23,5,5,2,2,0,0,0,2,1,1,1,5,1
23,4,1,2,0,0,3,0,1,5,1,1,1,4
23,5,3,2,3,0,0,0,1,1,1,1,2,1
23,3,3,2,3,0,2,0,1,1,0,1,3,4
23,3,7,2,2,0,2,2,2,4,0,1,4,0
23,4,3,2,0,0,0,0,1,1,0,1,3,2
24,2,6,2,3,0,2,0,1,5,0,1,2,2
23,3,4,2,2,0,0,0,1,5,0,1,2,4
23,1,3,2,0,0,0,0,1,1,0,1,3,0
24,1,5,2,0,0,1,0,1,1,0,0,3,0
23,2,5,2,3,0,3,0,1,1,1,1,2,1
24,2,5,2,1,0,2,0,1,1,1,1,0,5
23,5,4,2,3,0,1,0,1,3,0,1,0,0
25,4,2,2,0,0,2,0,1,5,0,1,0,2
23,4,3,2,1,0,2,0,1,1,0,1,5,3
23,7,1,2,0,0,3,0,1,2,0,0,5,4
23,7,1,2,1,1,1,2,2,2,1,0,4,1
23,2,2,2,0,0,2,0,1,1,0,1,4,3
26,0,5,2,0,0,0,0,1,1,0,1,4,0
23,3,4,2,3,0,3,0,2,1,0,1,0,3
23,4,3,2,0,1,3,0,2,4,0,1,0,4
23,3,3,2,0,0,3,2,1,3,0,1,1,5
24,1,4,2,0,0,1,0,1,5,1,1,4,5
23,4,7,2,3,0,3,0,1,3,1,1,0,5
23,2,6,2,2,0,2,0,2,0,0,1,0,2
23,5,6,2,3,0,3,0,1,1,0,1,5,4
23,3,0,2,0,0,0,0,2,2,1,0,4,0
24,3,7,2,3,0,0,0,2,0,0,1,0,3
23,4,3,2,0,0,1,1,1,3,0,1,5,0
24,3,5,2,0,0,0,0,2,1,1,1,4,5
25,0,3,2,0,0,2,0,1,2,0,0,3,3
24,7,3,2,0,0,1,0,1,2,1,1,5,2
24,5,3,2,1,1,3,2,2,3,1,0,1,2
25,3,3,2,0,0,3,0,1,5,0,1,5,3
23,2,1,2,0,0,3,0,2,1,0,1,2,0
24,3,7,2,3,0,1,0,1,3,0,1,2,0
24,1,5,2,2,0,2,0,2,1,0,1,3,3
25,4,7,2,3,0,1,0,1,1,1,1,4,1
23,1,4,2,0,0,0,0,1,1,0,0,0,0
23,3,1,2,0,0,3,0,1,3,1,0,3,4
24,4,1,2,0,0,3,0,2,2,1,0,3,1
23,4,7,2,0,0,3,0,1,3,0,1,2,0
23,3,7,2,2,0,3,0,2,1,1,0,1,2
23,7,3,2,3,0,2,0,1,5,0,1,3,0
23,3,5,2,2,0,2,0,1,4,0,1,3,0
25,2,3,2,0,0,2,0,1,1,1,0,3,1
24,2,3,2,3,0,0,0,1,3,0,1,0,4
24,5,3,2,0,0,2,0,1,1,0,1,2,5
23,5,4,2,0,1,1,0,2,3,1,1,5,2
24,1,3,2,0,0,2,0,2,4,0,1,0,4
24,3,4,2,0,0,0,0,1,1,0,1,0,3
23,4,3,2,0,0,2,0,1,1,0,0,4,2
25,1,3,2,0,0,1,0,1,1,1,1,0,0
23,7,4,2,3,0,1,0,0,5,1,0,4,5
23,3,1,2,1,0,3,0,1,4,1,1,1,1
23,4,4,2,0,0,1,0,1,3,0,1,0,3
24,5,5,2,2,0,0,0,1,4,0,1,0,0
23,5,5,2,0,0,2,2,2,3,0,1,3,4
23,2,3,2,2,0,0,0,2,5,0,0,0,4
23,4,7,2,2,0,2,0,2,4,0,1,0,0
23,0,4,2,1,0,2,0,2,1,1,1,0,4
23,5,6,2,0,0,1,0,2,1,0,1,1,0
23,5,4,2,0,0,3,2,1,3,0,0,0,0
17,2,4,0,3,1,3,0,1,0,1,0,3,1
17,8,0,0,0,1,3,0,1,5,1,0,3,4
17,6,2,0,3,1,3,0,1,2,1,0,1,1
18,7,0,0,0,1,3,2,1,2,1,1,5,3
17,4,4,0,3,1,3,0,1,3,0,0,2,3
17,8,0,0,0,1,0,0,2,5,1,0,5,1
17,5,1,0,2,1,3,0,1,5,1,0,3,1
17,7,2,0,2,1,3,0,1,5,1,0,2,1
17,6,2,0,3,1,3,0,1,5,1,0,5,1
17,3,7,0,3,1,3,0,1,1,0,0,1,0
17,8,2,0,2,1,3,0,1,5,1,0,5,3
17,4,4,0,3,1,3,0,1,3,0,0,4,0
